marka,model,motor_donanim,kasa_tipi,yakit_tipi,sanziman,kullanim_amaci,fiyat_tl,donanim_skor,guvenlik_skor,performans_skor,konfor_skor,ikinci_el_skor,tuketim_kwh,ev_sarj_tl,yillik_mtv,yillik_sigorta,yillik_bakim,ortalama_tuketim,beygir_gucu,tork_nm,hizlanma_0_100s,elektrikli_menzil_km,gövde_uzunlugu_mm,bagaj_hacmi_lt,marka_sitesi
Fiat,Egea,1.4 Fire Easy,Sedan,Benzin,Manuel,Aile/Ekonomik,1210000,2.5,3.0,2.0,2.5,5.0,0,0,5800,8000,6000,6.4,95,127,11.5,0,4532,520,https://www.fiat.com.tr
Fiat,Egea,1.4 Fire Urban,Sedan,Benzin,Manuel,Aile/Ekonomik,1290000,2.8,3.0,2.0,2.8,5.0,0,0,5800,8200,6000,6.4,95,127,11.5,0,4532,520,https://www.fiat.com.tr
Fiat,Egea,1.4 Fire Lounge,Sedan,Benzin,Manuel,Aile/Konfor,1380000,3.5,3.5,2.0,3.5,5.0,0,0,5800,8500,6000,6.4,95,127,11.5,0,4532,520,https://www.fiat.com.tr
Fiat,Egea,1.3 Multijet Easy,Sedan,Dizel,Manuel,Ekonomik/Filo,1450000,2.5,3.0,2.5,2.5,5.0,0,0,6500,9000,6500,4.5,95,200,11.5,0,4532,520,https://www.fiat.com.tr
Fiat,Egea,1.6 Multijet Urban,Sedan,Dizel,Otomatik,Aile/Konfor,1650000,3.5,3.5,3.0,3.5,5.0,0,0,7500,9500,7000,4.7,130,320,9.8,0,4532,520,https://www.fiat.com.tr
Fiat,Egea Cross,1.4 Fire Street,SUV,Benzin,Manuel,Şehir/Ekonomik,1350000,3.0,3.2,2.2,3.0,5.0,0,0,5800,8500,6200,6.5,95,127,11.8,0,4386,440,https://www.fiat.com.tr
Fiat,Egea Cross,1.4 Fire Urban,SUV,Benzin,Manuel,Şehir/Stil,1420000,3.2,3.2,2.2,3.2,5.0,0,0,5800,8800,6200,6.5,95,127,11.8,0,4386,440,https://www.fiat.com.tr
Fiat,Egea Cross,1.4 Fire Lounge,SUV,Benzin,Manuel,Şehir/Lüks,1510000,3.8,3.5,2.2,3.8,5.0,0,0,5800,9000,6200,6.5,95,127,11.8,0,4386,440,https://www.fiat.com.tr
Fiat,Egea Cross,1.6 Multijet Lounge,SUV,Dizel,Otomatik,Aile/Konfor,1750000,4.0,3.8,3.2,4.0,4.8,0,0,7500,10000,7500,5.0,130,320,10.2,0,4386,440,https://www.fiat.com.tr
Fiat,Egea Cross,1.5 Hibrit Lounge,SUV,Hibrit,Otomatik,Şehir/Teknoloji,1880000,4.2,4.0,3.5,4.0,4.5,0,0,7500,10500,7000,5.0,130,240,9.0,0,4386,440,https://www.fiat.com.tr
Renault,Clio,1.0 TCe Evolution,Hatchback,Benzin,Otomatik,Şehir/Pratik,1380000,3.5,4.0,2.8,3.5,5.0,0,0,6000,8500,6500,5.8,90,160,11.5,0,4050,391,https://www.renault.com.tr
Renault,Clio,1.0 TCe Techno Esprit Alpine,Hatchback,Benzin,Otomatik,Genç/Tasarım,1550000,4.2,4.2,3.0,3.8,4.8,0,0,6500,9500,7000,5.8,90,160,11.5,0,4050,391,https://www.renault.com.tr
Renault,Taliant,1.0 TCe Joy,Sedan,Benzin,Otomatik,Ekonomik/Filo,1290000,2.8,3.0,2.5,3.0,4.5,0,0,5800,8000,6000,6.1,90,160,11.7,0,4396,628,https://www.renault.com.tr
Renault,Taliant,1.0 TCe Touch,Sedan,Benzin,Otomatik,Aile/Ekonomik,1380000,3.2,3.2,2.5,3.2,4.5,0,0,5800,8200,6000,6.1,90,160,11.7,0,4396,628,https://www.renault.com.tr
Renault,Megane Sedan,1.3 TCe Joy,Sedan,Benzin,Otomatik,Aile/Konfor,1650000,3.8,4.2,3.8,4.0,4.8,0,0,7500,9500,8000,6.5,140,240,9.0,0,4632,550,https://www.renault.com.tr
